          AccessionNumber              SpecimenType              FilingNumber     SpecimenSecurityLevel 
                    22262                         4                       162                         5 
SpecimenSecurityLevelText             Deaccessioned                 IsMissing                LoanStatus 
                        5                         1                         2                         3 
                CreatedBy               CreatedDate                 UpdatedBy               UpdatedDate 
                       16                      9280                        23                     19667 
                 Quantity                TypeStatus              VerbatimName                 TaxonName 
                        2                        17                      4958                      4217 
              CurrentName              SourceNameId        VerbatimDeterminer        StandardDeterminer 
                     3830                      4230                       698                       439 
     DeterminersRefNumber                    Phylum                     Class                     Order 
                     1273                        18                        38                       117 
                   Family              PartAffected                 Substrate      BiostatusDescription 
                      363                      2589                      1094                         7 
    OccurrenceDescription      VerbatimTaxonName_C2              TaxonName_C2             Vernacular_C2 
                        8                      3020                      2151                      2463 
                   HostId                 Family_C2           PartAffected_C2              Substrate_C2 
                     2097                       256                      2589                       122 
        StandardCollector         CollectionDateISO       CollectorsRefNumber           VerbatimCountry 
                     1921                      2686                      3259                       232 
                  Country                NZAreaCode          StandardLocality          VerbatimLocality 
                      144                        37                      3219                      4210 
                 MapSheet                 MapSheet1                   Easting                  Northing 
                        4                         6                       477                       490 
               DecimalLat               DecimalLong                  Altitude          AltitudeInMeters 
                     2876                      2897                        26                        26 
             MicroHabitat                   Habitat      CollectionEventNotes          IsolationDateISO 
                        1                        56                       220                      2754 
         DepositedDateISO             DepositorName        DepositorRefNumber                   GenBank 
                     1851                       829                     17018                         2 
               Literature                    Images 
                        2                         2 
